name,address,rating,reviews,website,lat,lng,category,no_website
Canopée Lyon - Bistronomie de Partage,"12 Rue Major Martin, 69001 Lyon, France",4.8,365,https://www.restaurantcanopeelyon.com/,45.7666115,4.8326521,"establishment, food, point_of_interest, restaurant",False
LE F2 Restaurant,"2 Place de l'Hôpital, 28 Rue Louis Paufique, 69002 Lyon, France",4.6,1482,https://www.lef2.com/,45.7592145,4.835797400000001,"establishment, food, point_of_interest, restaurant",False
Tigermilk Lyon,"18 Rue Pizay, 69001 Lyon, France",4.7,5967,https://tigermilkrestaurants.com/fr/restaurants/lyon-viiie/,45.7669618,4.8357101,"establishment, food, point_of_interest, restaurant",False
Bouchon Tupin,"30 Rue Tupin, 69002 Lyon, France",4.8,2089,http://bouchontupin.com/,45.7628785,4.8349451,"establishment, food, point_of_interest, restaurant",False
L'Alsacien Lyon,"8 Rue Chavanne, 69001 Lyon, France",4.7,1700,http://www.lalsacien.com/restaurant-alsacien-flammekueche-lyon/,45.7652476,4.8322511,"bar, establishment, food, point_of_interest, restaurant",False
Les Sales Gosses (à TOULOUSE),"81 Rue Pierre-Paul Riquet, 31000 Toulouse, France",4.8,1958,https://restaurant.lessalesgosses.fr/,43.606032,1.453933,"establishment, food, point_of_interest, restaurant",False
Oh la vache !,"2 Rue d'Austerlitz, 31000 Toulouse, France",4.7,2047,,43.6054879,1.4475091,"establishment, food, point_of_interest, restaurant",True
Au Pois Gourmand restaurant terrasse gastronomique,"3 Rue Emile Heybrard, 31300 Toulouse, France",4.8,6919,http://pois-gourmand.fr/,43.609052,1.4096611,"establishment, food, point_of_interest, restaurant",False
Fogo,"6 Rue des Puits Clos, 31000 Toulouse, France",4.9,442,https://fogo-toulouse.fr/,43.6019429,1.4445828,"establishment, food, point_of_interest, restaurant",False
Petit Voyage - Restaurant Toulouse,"18 Rue Emile Cartailhac, 31000 Toulouse, France",4.9,916,https://instagram.com/petit.voyage_31,43.6074714,1.4403626,"cafe, establishment, food, meal_takeaway, point_of_interest, restaurant, store",False
Bistroquet Toulouse,"10 Rue Labeda, 31000 Toulouse, France",4.7,7159,https://linktr.ee/bistroquettoulouse,43.604626,1.448928,"bar, establishment, food, point_of_interest, restaurant",False
MAMA RESTAURANT TOULOUSE,"54 Bd Lazare Carnot, 31000 Toulouse, France",4.5,1803,https://fr.mamashelter.com/toulouse/restaurants?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,43.6050267,1.4498231,"establishment, food, point_of_interest, restaurant",False
Hortùs Toulouse,"17 Rue Croix Baragnon, 31000 Toulouse, France",4.9,858,https://hortus-toulouse.fr/,43.5995326,1.4466319,"establishment, food, point_of_interest, restaurant",False
Restaurant Une Table à Deux,"10 Rue de la Pleau, 31000 Toulouse, France",4.8,865,http://www.unetableadeux.fr/,43.59679999999999,1.4470155,"establishment, food, point_of_interest, restaurant",False
Gaïa,"24 Rue Croix Baragnon, 31000 Toulouse, France",4.5,3760,https://gaia-toulouse.com/,43.599856,1.4479622,"establishment, food, point_of_interest, restaurant",False
L' Atrium - Restaurant Toulouse,"Plaza Hôtel ****, 7 Pl. du Capitole, 31000 Toulouse, France",4.6,863,https://www.restaurantatrium.fr/,43.603728,1.442771,"bar, establishment, food, point_of_interest, restaurant",False
Hope! Restaurant Toulouse,"19 Rue Saint-Bernard, 31000 Toulouse, France",4.9,386,https://sites.google.com/view/hope-restaurant-pates-gnocchis/accueil,43.6092033,1.4443374,"establishment, food, point_of_interest, restaurant",False
